Fee,Contract Year,Age,Interest,Account Value,Income Base,Income
0.011,0,60,0.00,"100,000","100,000",0
0.011,1,61,0.03,"103,000","110,000",0
0.011,2,62,0.03,"104,844","120,000",0
0.011,3,63,0.03,"106,629","130,000",0
0.011,4,64,0.03,"108,355","140,000",0
0.011,5,65,0.03,"110,020","150,000","12,000"
0.011,6,66,0.03,"99,261","150,000","12,000"
0.011,7,67,0.03,"88,179","150,000","12,000"
0.011,8,68,0.03,"76,765","150,000","12,000"
0.011,9,69,0.03,"65,009","150,000","12,000"
0.011,10,70,0.03,"52,899","150,000","12,000"
0.011,11,71,0.03,"40,427","150,000","12,000"
0.011,12,72,0.03,"27,580","150,000","12,000"
0.011,13,73,0.03,"14,348","150,000","12,000"
0.011,14,74,0.03,719,"150,000","12,000"
0.011,15,75,0.00,0,"150,000","7,500"
0.011,16,76,0.00,0,"150,000","7,500"
0.011,17,77,0.00,0,"150,000","7,500"
0.011,18,78,0.00,0,"150,000","7,500"
0.011,19,79,0.00,0,"150,000","7,500"
0.011,20,80,0.00,0,"150,000","7,500"
